쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
KT 연세컴퍼니_방화역점,기후동행쉼터,통신사 대리점,"서울 강서구 금낭화로 135 1층 107호 108호 (방화동, 금강프라자빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.57744501,126.8124381
KT 연세컴퍼니_당산역점,기후동행쉼터,통신사 대리점,서울 영등포구 양평로 18 (당산동6가),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.5330124,126.9042532
KT 화이트정보통신_가산역점,기후동행쉼터,통신사 대리점,"서울 금천구 벚꽃로 298 1층 108호 KT (가산동, 대륭포스트타워6차)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.48144017,126.8838717
KT 화이트정보통신_사당점,기후동행쉼터,통신사 대리점,서울 동작구 남부순환로 2061 KT매장 (사당동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.47690406,126.9777876
KT 화이트정보통신_구로시장점,기후동행쉼터,통신사 대리점,서울 구로구 도림로 69 1층 코너매장 (구로동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.48963311,126.8910472
KT (주)예스모바일_구로디지털단지역점,기후동행쉼터,통신사 대리점,서울 구로구 시흥대로 577 (구로동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.48444049,126.9022513
KT (주)예스모바일_ 독산씨티렉스,기후동행쉼터,통신사 대리점,서울 금천구 시흥대로 399 (독산동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.46935918,126.8970019
KT (주)삼윈_까치산역점,기후동행쉼터,통신사 대리점,서울 강서구 강서로16길 1 (화곡동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.53266183,126.8464702
KT (주)삼윈_여의도점,기후동행쉼터,통신사 대리점,서울 영등포구 여의나루로 42 여의도종합 상가 117호 (여의도동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.52147023,126.9249711
KT 일등텔레콤 화곡역점,기후동행쉼터,통신사 대리점,서울 강서구 화곡로 157 103호 일부 (화곡동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.54157779,126.8391075
KT 대명텔레콤 청담점,기후동행쉼터,통신사 대리점,서울 강남구 선릉로 812 1층 2층 (청담동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.52430491,127.0397249
KT 가온텔레콤_교대역점,기후동행쉼터,통신사 대리점,"서울 서초구 반포대로22길 104 1층 (서초동, 크라운빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.49120479,127.0138418
KT (주)만리장성_고속터미널역점,기후동행쉼터,통신사 대리점,서울 서초구 신반포로 189 1층 (잠원동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.5065454,127.0048681
KT 300텔레콤_대치역점,기후동행쉼터,통신사 대리점,서울 강남구 남부순환로 2927 대치클래시아 106호 (대치동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.49367579,127.0603584
KT 올포원텔레콤_잠실새내역점,기후동행쉼터,통신사 대리점,"서울 송파구 석촌호수로 64 1층 (잠실동, 잠실빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.5106112,127.0855677
KT (주)투유텔레콤_명일역점,기후동행쉼터,통신사 대리점,서울 강동구 양재대로 1624 1층 (명일동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.5504094,127.144124
KT 대박통신_암사역점,기후동행쉼터,통신사 대리점,"서울 강동구 올림픽로 780 1층 (암사동, 예지빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.55059189,127.1279894
