쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
방배느티나무쉼터,한파쉼터,노인시설,서울특별시 서초구 남부순환로287길 17-6 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,535,8,Y,"['한파', '눈']",실내,,,,37.47653668,126.987286
방배3동 주민센터,한파쉼터,주민센터,서울특별시 서초구 방배로 40,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,354,20,Y,"['한파', '눈']",실내,,,,37.47843876,126.9999966
방배3동 제2경로당,한파쉼터,노인시설,서울특별시 서초구 남부순환로287길 17-4 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,113,20,Y,"['한파', '눈']",실내,,,,37.4765239,126.9874431
방배4동 주민센터,한파쉼터,주민센터,서울특별시 서초구 방배로 173,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,552.59,20,Y,"['한파', '눈']",실내,,,,37.48900761,126.9922424
방배4동 경로당,한파쉼터,노인시설,서울특별시 서초구 방배중앙로19길 4,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,146,30,Y,"['한파', '눈']",실내,,,,37.48987643,126.9868919
양재느티나무쉼터,한파쉼터,노인시설,서울특별시 서초구 바우뫼로41길 72-9 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,487.29,5,Y,"['한파', '눈']",실내,,,,37.48383635,127.0404943
우면주공아파트 경로당,한파쉼터,노인시설,서울특별시 서초구 바우뫼로7길 11,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,106.14,10,Y,"['한파', '눈']",실내,,,,37.4698618,127.023866
서초구립 우면동 경로당,한파쉼터,노인시설,서울특별시 서초구 바우뫼로4길 6,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,195,20,Y,"['한파', '눈']",실내,,,,37.46941753,127.0254992
양재1동 주민센터,한파쉼터,주민센터,서울특별시 서초구 바우뫼로 41,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,70,21,Y,"['한파', '눈']",실내,,,,37.47167106,127.0266688
양재노인종합복지관,한파쉼터,복지회관,서울특별시 서초구 강남대로30길 73-7 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,100,22,Y,"['한파', '눈']",실내,,,,37.48302001,127.040816
서초구립 암산 경로당,한파쉼터,노인시설,서울특별시 서초구 바우뫼로7길 84,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,97,20,Y,"['한파', '눈']",실내,,,,37.47351988,127.0244307
