쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
왕십리도선동주민센터,한파쉼터,주민센터,서울특별시 성동구 마장로 141,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,38.88,10,Y,"['한파', '눈']",실내,,,,37.56787682,127.02553
성동구도시관리공단 스마트쉼터,한파쉼터,기타,서울특별시 성동구 청계천로 546,평일: 04:00:00 ~ 23:59:00,"일요일, 공휴일",2024-11-15,2025-03-15,,5.95,5,Y,"['한파', '눈']",실내,,,,37.57171493,127.0369038
성동노인복지관 스마트쉼터,한파쉼터,기타,서울특별시 성동구 마조로 77,평일: 04:00:00 ~ 23:59:00,"일요일, 공휴일",2024-11-15,2025-03-15,,5.95,5,Y,"['한파', '눈']",실내,,,,37.56478466,127.0412399
마장축산물시장 (도선사거리) 스마트쉼터,한파쉼터,기타,서울특별시 성동구 고산자로 344-1 ,평일: 04:00:00 ~ 23:59:00,"일요일, 공휴일",2024-11-15,2025-03-15,,16.5,5,Y,"['한파', '눈']",실내,,,,,
마장축산물시장 (동대문구청.용두역3번출구) 스마트쉼터,한파쉼터,기타,서울특별시 성동구 고산자로 344-1 ,평일: 04:00:00 ~ 23:59:00,"일요일, 공휴일",2024-11-15,2025-03-15,,16.5,5,Y,"['한파', '눈']",실내,,,,,
마장동주민센터,한파쉼터,주민센터,서울특별시 성동구 마장로42길 11,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,866,12,Y,"['한파', '눈']",실내,,,,37.56631969,127.0454073
사근동주민센터,한파쉼터,주민센터,서울특별시 성동구 사근동길 37,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,12,Y,"['한파', '눈']",실내,,,,37.56149957,127.045326
성동구청 (성동교육청앞) 스마트쉼터,한파쉼터,기타,서울특별시 성동구 고산자로 280,평일: 04:00:00 ~ 23:59:00,"일요일, 공휴일",2024-11-15,2025-03-15,,16.5,5,Y,"['한파', '눈']",실내,,,,37.56400914,127.0366883
응봉사거리 (무학여고앞) 스마트쉼터,한파쉼터,기타,서울특별시 성동구 고산자로 164,평일: 04:00:00 ~ 23:59:00,"일요일, 공휴일",2024-11-15,2025-03-15,,16.5,5,Y,"['한파', '눈']",실내,,,,37.55506876,127.0354241
행당1동주민센터,한파쉼터,주민센터,서울특별시 성동구 고산자로10길 18,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,"1,605.00",7,Y,"['한파', '눈']",실내,,,,37.55850972,127.0361515
