쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
GS25 GS25강남동원점,기후동행쉼터,편의점,"강남구 테헤란로77길 7(삼성2동 143-28, 동원빌딩)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50692613,127.054495
신한은행 압구정갤러리아,기후동행쉼터,은행,서울 강남구 압구정로 344(신사동),09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.52770137,127.0398502
신한은행 신한은행(신사동),기후동행쉼터,은행,서울특별시 강남구 강남대로 606,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.51583017,127.020147
신한은행 압구정역,기후동행쉼터,은행,서울특별시 강남구 압구정로 152,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.52556489,127.0260489
신한은행 압구정중앙,기후동행쉼터,은행,서울특별시 강남구 압구정로 220,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.52833783,127.0315363
신한은행 학동,기후동행쉼터,은행,서울특별시 강남구 도산대로 221,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.52100474,127.030896
신한은행 영동,기후동행쉼터,은행,"서울특별시 강남구 언주로 709,(송암빌딩)",09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.51679143,127.0349228
신한은행 도산대로,기후동행쉼터,은행,서울특별시 강남구 도산대로 318,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.52184176,127.0368952
신한은행 청담동,기후동행쉼터,은행,서울 강남구 도산대로 506,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.52396629,127.0482379
신한은행 강남구청역,기후동행쉼터,은행,서울특별시 강남구 학동로 402,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.5169931,127.0417891
신한은행 무역센터금융센터,기후동행쉼터,은행,서울 강남구 영동대로 513(삼성동),09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.51182391,127.059159
신한은행 삼성역,기후동행쉼터,은행,서울특별시 강남구 테헤란로 516,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50741303,127.0600791
신한은행 봉은사로,기후동행쉼터,은행,서울특별시 강남구 봉은사로 609,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.51474423,127.0614883
신한은행 테헤란로금융센터,기후동행쉼터,은행,"서울특별시 강남구 테헤란로 429,(원방빌딩)",09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50644183,127.0539376
신한은행 선릉,기후동행쉼터,은행,"서울특별시 강남구 테헤란로 329,(삼흥빌딩)",09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50453213,127.0476936
신한은행 선릉중앙,기후동행쉼터,은행,"서울특별시 강남구 테헤란로 410,(금강타워)",09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50455591,127.0507294
신한은행 논현동,기후동행쉼터,은행,서울특별시 강남구 강남대로 468,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.5041557,127.0251455
신한은행 강남중앙,기후동행쉼터,은행,서울특별시 강남구 테헤란로 146,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50001924,127.0354872
신한은행 GS타워,기후동행쉼터,은행,"서울특별시 강남구 논현로 508,(GS강남타워)",09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50199493,127.0373364
신한은행 대치동,기후동행쉼터,은행,서울특별시 강남구 삼성로 238,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49863241,127.0613981
신한은행 대치역,기후동행쉼터,은행,서울특별시 강남구 삼성로 150(대치동),09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49569534,127.0685647
신한은행 일원역,기후동행쉼터,은행,"서울특별시 강남구 일원로 120,(극동,현대아파트단지상가)",09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.48520191,127.0826728
신한은행 삼성서울병원,기후동행쉼터,은행,서울 강남구 일원로 81,09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49034451,127.0895902
신한은행 도곡,기후동행쉼터,은행,"서울특별시 강남구 역삼로 310,(한솔필리아)",09~16시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49923554,127.0484209
